."ORI_ID"	"DEST_ID"	"TOTAL_METE"	"NSA"
2756	302	9569.24	59.64
2756	303	9465.71	59.64
2756	304	8153.17	59.64
2756	305	9556.77	59.64
2756	306	4189.75	59.64
2756	307	3589.95	59.64
2756	308	3983.84	59.64
2756	309	6354.08	59.64
54298	290	4250.65	60.33
54298	291	4406.59	60.33
54298	292	1085.35	60.33
54298	293	678.25	60.33
54298	294	1903.43	60.33
54298	295	1685.58	60.33
54298	296	3182.74	60.33
54298	297	2608.16	60.33
54298	298	2794.80	60.33
54298	299	4641.86	60.33
54298	300	1824.92	60.33
54298	301	1843.67	60.33
54298	302	9687.85	60.33
54298	303	9584.31	60.33
54298	304	8262.63	60.33
54298	305	9675.38	60.33
54298	306	3983.09	60.33
54298	307	2894.71	60.33
54298	308	3777.19	60.33
54298	309	6199.59	60.33
54334	290	4583.04	69.89
54334	291	3975.90	69.89
54334	292	2036.40	69.89
54334	293	1860.46	69.89
54334	294	1929.85	69.89
54334	295	1712.00	69.89
54334	296	2400.72	69.89
54334	297	1826.14	69.89
54334	298	2610.27	69.89
54334	299	4457.33	69.89
54334	300	1042.90	69.89
54334	301	1870.08	69.89
54334	302	9988.09	69.89
54334	303	9884.55	69.89
54334	304	8562.87	69.89
54334	305	9975.62	69.89
54334	306	4315.49	69.89
54334	307	3522.44	69.89
54334	308	4109.58	69.89
54334	309	6524.14	69.89
54246	290	5122.24	70.77
54246	291	5398.43	70.77
54246	292	2364.48	70.77
54246	293	2039.45	70.77
54246	294	3083.01	70.77
54246	295	2865.89	70.77
54246	296	4008.39	70.77
54246	297	3417.75	70.77
54246	298	2535.59	70.77
54246	299	4339.23	70.77
54246	300	2634.50	70.77
54246	301	3023.97	70.77
54246	302	10569.07	70.77
54246	303	10465.54	70.77
54246	304	9180.18	70.77
54246	305	10556.60	70.77
54246	306	4854.69	70.77
54246	307	3764.91	70.77
54246	308	4648.78	70.77
54246	309	7071.19	70.77
2910	290	3426.79	71.35
2910	291	2137.26	71.35
2910	292	3132.84	71.35
2910	293	3666.56	71.35
2910	294	2277.45	71.35
2910	295	2244.04	71.35
2910	296	2248.89	71.35
2910	297	2835.41	71.35
2910	298	4769.51	71.35
2910	299	6774.11	71.35
2910	300	2604.24	71.35
2910	301	2316.08	71.35
2910	302	8257.71	71.35
2910	303	8154.18	71.35
2910	304	6833.24	71.35
2910	305	8245.24	71.35
2910	306	3625.03	71.35
2910	307	3466.62	71.35
2910	308	3419.12	71.35
2910	309	5140.85	71.35
49161	290	1840.33	79.75
49161	291	3287.65	79.75
49161	292	2126.88	79.75
49161	293	2660.60	79.75
49161	294	1375.69	79.75
49161	295	1605.06	79.75
49161	296	3064.86	79.75
49161	297	3577.21	79.75
49161	298	5248.05	79.75
49161	299	7095.11	79.75
49161	300	3100.04	79.75
49161	301	1414.32	79.75
49161	302	7043.19	79.75
49161	303	6939.66	79.75
49161	304	5677.03	79.75
49161	305	7030.72	79.75
49161	306	1572.78	79.75
49161	307	1506.46	79.75
49161	308	1366.87	79.75
49161	309	3745.42	79.75
3727	290	2505.72	87.94
3727	291	3378.91	87.94
3727	292	1072.26	87.94
3727	293	1605.98	87.94
3727	294	623.01	87.94
3727	295	1092.23	87.94
3727	296	2646.49	87.94
3727	297	3114.40	87.94
3727	298	4672.41	87.94
3727	299	6519.47	87.94
3727	300	2733.28	87.94
3727	301	661.64	87.94
3727	302	7926.24	87.94
3727	303	7822.71	87.94
3727	304	6501.03	87.94
3727	305	7913.77	87.94
3727	306	2238.16	87.94
3727	307	1242.18	87.94
3727	308	2032.26	87.94
3727	309	4454.66	87.94
2926	290	2815.72	87.95
2926	291	2341.60	87.95
2926	292	2816.06	87.95
2926	293	3349.78	87.95
2926	294	1960.67	87.95
2926	295	2136.36	87.95
2926	296	2435.26	87.95
2926	297	2951.57	87.95
2926	298	4880.49	87.95
2926	299	6785.58	87.95
2926	300	2615.70	87.95
2926	301	1999.30	87.95
2926	302	7649.39	87.95
2926	303	7545.86	87.95
2926	304	6224.93	87.95
2926	305	7636.92	87.95
2926	306	2922.37	87.95
2926	307	2907.42	87.95
2926	308	2716.46	87.95
2926	309	4529.77	87.95
3809	290	8050.13	88.14
3809	291	6573.99	88.14
3809	292	5206.56	88.14
3809	293	4799.47	88.14
3809	294	5396.94	88.14
3809	295	5179.09	88.14
3809	296	4611.49	88.14
3809	297	4310.61	88.14
3809	298	1649.27	88.14
3809	299	555.29	88.14
3809	300	3649.22	88.14
3809	301	5337.17	88.14
3809	302	13455.18	88.14
3809	303	13351.65	88.14
3809	304	12029.97	88.14
3809	305	13442.71	88.14
3809	306	7782.58	88.14
3809	307	6989.53	88.14
3809	308	7576.67	88.14
3809	309	9991.23	88.14
3731	290	5890.86	98.42
3731	291	4004.07	98.42
3731	292	3327.88	98.42
3731	293	2920.78	98.42
3731	294	3364.02	98.42
3731	295	3033.25	98.42
3731	296	2041.57	98.42
3731	297	1843.47	98.42
3731	298	1087.97	98.42
3731	299	3243.94	98.42
3731	300	1431.90	98.42
3731	301	3304.26	98.42
3731	302	11140.93	98.42
3731	303	11037.40	98.42
3731	304	9766.93	98.42
3731	305	11128.46	98.42
3731	306	5623.30	98.42
3731	307	4956.61	98.42
3731	308	5417.39	98.42
3731	309	7843.24	98.42
3309	290	1067.08	99.45
3309	291	3862.35	99.45
3309	292	3131.17	99.45
3309	293	3664.89	99.45
3309	294	2392.42	99.45
3309	295	2621.79	99.45
3309	296	3785.00	99.45
3309	297	4297.36	99.45
3309	298	6226.28	99.45
3309	299	8111.84	99.45
3309	300	3961.49	99.45
3309	301	2431.05	99.45
3309	302	5996.30	99.45
3309	303	5892.77	99.45
3309	304	4630.14	99.45
3309	305	5983.83	99.45
3309	306	1190.17	99.45
3309	307	1736.85	99.45
3309	308	984.26	99.45
3309	309	2781.14	99.45
3476	290	2034.02	100.68
3476	291	3585.44	100.68
3476	292	1527.89	100.68
3476	293	2061.61	100.68
3476	294	849.31	100.68
3476	295	1302.90	100.68
3476	296	2857.16	100.68
3476	297	3325.07	100.68
3476	298	4898.72	100.68
3476	299	6745.78	100.68
3476	300	2943.95	100.68
3476	301	887.95	100.68
3476	302	7480.84	100.68
3476	303	7377.31	100.68
3476	304	6091.96	100.68
3476	305	7468.37	100.68
3476	306	1766.46	100.68
3476	307	764.40	100.68
3476	308	1560.55	100.68
3476	309	3982.96	100.68
3295	290	2434.52	173.36
3295	291	2540.82	173.36
3295	292	1865.95	173.36
3295	293	2399.67	173.36
3295	294	1039.48	173.36
3295	295	1237.79	173.36
3295	296	2404.64	173.36
3295	297	2916.99	173.36
3295	298	4845.91	173.36
3295	299	6737.25	173.36
3295	300	2581.12	173.36
3295	301	1078.12	173.36
3295	302	7697.04	173.36
3295	303	7593.50	173.36
3295	304	6330.88	173.36
3295	305	7684.57	173.36
3295	306	2166.97	173.36
3295	307	1875.20	173.36
3295	308	1961.06	173.36
3295	309	4339.61	173.36
3350	290	2678.26	189.66
3350	291	2286.74	189.66
3350	292	1769.13	189.66
3350	293	2302.85	189.66
3350	294	913.74	189.66
3350	295	1089.44	189.66
3350	296	2197.07	189.66
3350	297	2709.42	189.66
3350	298	4638.35	189.66
3350	299	6543.43	189.66
3350	300	2373.55	189.66
3350	301	952.37	189.66
3350	302	7829.91	189.66
3350	303	7726.38	189.66
3350	304	6463.75	189.66
3350	305	7817.44	189.66
3350	306	2410.71	189.66
3350	307	2102.91	189.66
3350	308	2204.80	189.66
3350	309	4583.35	189.66
3321	290	2830.09	295.74
3321	291	1975.12	295.74
3321	292	2273.38	295.74
3321	293	2807.10	295.74
3321	294	1417.99	295.74
3321	295	1577.62	295.74
3321	296	1897.77	295.74
3321	297	2410.12	295.74
3321	298	4339.05	295.74
3321	299	6244.13	295.74
3321	300	2074.26	295.74
3321	301	1456.62	295.74
3321	302	7759.31	295.74
3321	303	7655.77	295.74
3321	304	6393.14	295.74
3321	305	7746.83	295.74
3321	306	2793.29	295.74
3321	307	2607.16	295.74
3321	308	2587.39	295.74
3321	309	4544.14	295.74
54310	290	7876.45	296.35
54310	291	4329.53	296.35
